,Open time,Open,High,Low,Close,Volume,Close time,Quote,Trade num,Takerbase,Takerquote,Ignore
0,1514764800000,13715.65000000,13715.65000000,13576.28000000,13600.00000000,33.61779800,1514765099999,458214.12781515,435,18.26695800,249021.89704196,0
1,1514765100000,13600.00000000,13600.00000000,13501.01000000,13554.58000000,40.52867900,1514765399999,548929.14507546,632,20.38009900,276177.52790242,0
2,1514765400000,13554.58000000,13569.97000000,13400.01000000,13556.15000000,49.46953600,1514765699999,668401.61375465,505,24.58007600,332411.40205419,0
3,1514765700000,13533.75000000,13547.73000000,13402.00000000,13430.52000000,32.72561400,1514765999999,440489.65544642,549,16.50044700,222025.96803117,0
4,1514766000000,13440.01000000,13459.99000000,13410.44000000,13439.94000000,26.61413500,1514766299999,357642.99759818,393,13.77614300,185228.10351745,0
5,1514766300000,13439.94000000,13550.87000000,13420.05000000,13521.12000000,38.79668100,1514766599999,523624.19876311,519,17.40979900,235027.10075399,0
6,1514766600000,13500.00000000,13545.37000000,13479.79000000,13515.00000000,24.31021500,1514766899999,328575.78046206,329,14.96076700,202148.00307887,0
7,1514766900000,13519.75000000,13536.56000000,13461.74000000,13464.16000000,27.12940200,1514767199999,366540.82303529,360,8.39901200,113485.95801621,0
8,1514767200000,13498.99000000,13500.00000000,13450.00000000,13470.41000000,28.46442000,1514767499999,383708.68371561,311,20.35062700,274400.75206492,0
9,1514767500000,13494.65000000,13599.99000000,13450.00000000,13560.11000000,48.98030500,1514767799999,662057.77436654,379,24.08394100,325843.23568839,0
10,1514767800000,13596.88000000,13690.87000000,13521.39000000,13530.00000000,47.90634600,1514768099999,650500.51171558,401,22.65377300,307886.43993470,0
11,1514768100000,13530.00000000,13574.05000000,13452.56000000,13529.01000000,44.81306800,1514768399999,605224.52428995,415,27.16027900,366884.71768522,0
12,1514768400000,13528.99000000,13571.74000000,13481.82000000,13510.85000000,24.95334600,1514768699999,337208.38955788,347,13.32157200,179959.82901757,0
